gold_label,Sentence1,Sentence2,Explanation_1
neutral,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,Not all churches have cracks in the ceiling
entailment,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,"""Filled with song"" is a rephrasing of the ""choir sings to the masses."""
contradiction,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,A choir sing some other songs other than book at church during the base play. they cannot see book and play base ball same time.
neutral,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,the woman could've been old rather than young
entailment,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,a grin suggests hapiness.
contradiction,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,There can be either a woman with a very big grin or a woman who has been shot.
entailment,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,"The word "" ad "" is short for the word "" advertisement ""."
neutral,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,Not all advertisements are ad for beer.
contradiction,An old man with a package poses in front of an advertisement.,A man walks by an ad.,The man poses in front of the advertisement therefore he did not walk by it.
neutral,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,Not all statues are ignored because they are offensive.
entailment,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,"If no one seems to be looking at a statue, it means not many people interested in."
contradiction,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,Either no one is looking at the statue or tons of people are gathered around the statue.
entailment,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,A Land Rover being driven across a river implies that water will be splashing as it corsses.
entailment,A land rover is being driven across a river.,A vehicle is crossing a river.,A land rover is a vehicle.
contradiction,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,"A land rover and a sedan are different cars, so these sentences cannot be describing the same event."
contradiction,A man playing an electric guitar on stage.,A man playing banjo on the floor.,The man can't play on stage if he is on the floor.
entailment,A man playing an electric guitar on stage.,A man playing guitar on stage.,An electric guitar is a guitar.
neutral,A man playing an electric guitar on stage.,A man is performing for cash.,it is unknown if the man is performing for cash.
entailment,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,A doctor is looking at the new medical manuals.
contradiction,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,Looking through medical manuals implies that man is not eating pb and j.
neutral,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,Answer: Just because the is studying it doesn't mean he is reading medical manuals
contradiction,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,There are either two people - a girl and another person - or there is a boy.
